DaysSince5/19/06,SPY Raw,SPY ADJ,VIX,3Mo Interest Rate,SSVI eta,SSVI rho,VXST (estimate before 2/3/14)
341,149.48,113.03,13.21,0.049700,3.8286,-0.6581,12.15
342,149.65,113.16,12.79,0.049600,3.7568,-0.6442,11.63
343,149.53,113.07,12.45,0.049500,3.685,-0.6304,11.21
346,148.29,112.13,14.22,0.049100,3.7907,-0.6544,13.39
347,148.67,112.42,13.51,0.049000,3.7231,-0.6597,12.52
348,149.54,113.08,13.08,0.049100,3.6554,-0.6649,11.99
349,150.35,113.69,13.09,0.049000,3.5877,-0.6701,12.00
350,150.92,114.12,12.91,0.049000,3.52,-0.6754,11.78
353,150.95,114.14,13.15,0.048900,3.3936,-0.6638,12.07
354,150.75,113.99,13.21,0.049000,3.4026,-0.6555,12.15
355,151.16,114.30,12.88,0.048800,3.4116,-0.6471,11.74
356,149.58,113.11,13.60,0.048700,3.4206,-0.6544,12.63
357,150.86,114.08,12.95,0.048700,3.4296,-0.6617,11.83
360,150.53,113.83,13.96,0.048500,3.4566,-0.6949,13.07
361,150.57,113.86,14.01,0.048300,3.4656,-0.7239,13.13
362,151.60,114.64,13.50,0.047500,3.4746,-0.7297,12.51
363,151.30,114.41,13.51,0.048100,3.4363,-0.7354,12.52
364,152.62,115.41,12.76,0.048400,3.3981,-0.7412,11.59
367,152.54,115.35,13.30,0.048800,3.2833,-0.7256,12.26
368,152.42,115.26,13.06,0.049300,3.2467,-0.7204,11.96
369,152.44,115.27,13.24,0.049100,3.21,-0.7152,12.19
370,151.06,114.23,14.08,0.049100,3.1915,-0.71,13.22
371,151.69,114.70,13.34,0.048800,3.1729,-0.7048,12.31
375,152.24,115.12,13.53,0.049000,3.1433,-0.6958,12.54
376,153.48,116.06,12.83,0.048500,3.147,-0.6945,11.68
377,153.32,115.94,13.05,0.047300,3.1507,-0.6932,11.95
378,154.08,116.51,12.78,0.047900,3.1544,-0.6919,11.62
381,154.10,116.53,13.29,0.048100,3.1655,-0.688,12.25
382,153.49,116.07,13.63,0.048300,3.1692,-0.6893,12.66
383,151.84,114.82,14.87,0.048000,3.1729,-0.6907,14.19
384,149.10,112.75,17.06,0.048000,3.1766,-0.692,16.88
385,151.04,114.21,14.84,0.047700,3.1803,-0.6934,14.15
388,151.30,114.41,14.71,0.047300,3.1913,-0.6974,13.99
389,149.65,113.16,16.67,0.047200,3.195,-0.6988,16.40
390,151.89,114.86,14.73,0.046600,3.1987,-0.7001,14.02
391,152.86,115.59,13.64,0.046500,3.2024,-0.7015,12.68
392,153.07,116.25,13.94,0.045600,3.2061,-0.7065,13.05
395,152.89,116.11,13.42,0.046300,3.0648,-0.6863,12.41
396,153.27,116.40,12.85,0.046500,3.1049,-0.6737,11.71
397,151.14,114.78,14.67,0.047400,3.145,-0.6973,13.94
398,151.98,115.42,14.21,0.047000,3.3245,-0.6928,13.38
399,150.55,114.33,15.75,0.047300,3.2753,-0.6883,15.27
402,149.83,113.79,16.65,0.048200,3.1278,-0.7252,16.38
403,148.29,112.62,18.89,0.048200,3.0786,-0.7312,19.13
404,150.40,114.22,15.53,0.047700,3.0294,-0.7371,15.00
405,150.38,114.20,15.54,0.047800,2.9803,-0.7431,15.01
406,150.43,114.24,16.23,0.048200,2.9311,-0.7491,15.86
409,151.79,115.27,15.40,0.049500,2.7836,-0.767,14.84
410,152.34,115.69,14.92,0.049500,2.8226,-0.7648,14.25
412,152.18,115.57,15.48,0.049500,2.8446,-0.7604,14.94
413,152.98,116.18,14.72,0.049500,2.8276,-0.7582,14.01
416,153.10,116.27,15.16,0.049700,2.7765,-0.7749,14.55
417,150.92,114.61,17.57,0.049500,2.7594,-0.78,17.51
418,151.99,115.43,16.64,0.049500,2.7424,-0.7851,16.37
419,154.39,117.25,15.54,0.049700,2.7253,-0.7903,15.01
420,154.85,117.60,15.15,0.049700,2.7083,-0.8094,14.53
423,154.83,117.58,15.59,0.049800,2.6342,-0.8211,15.08
424,154.75,117.52,15.63,0.049600,2.5942,-0.825,15.12
425,154.47,117.31,16.00,0.049600,2.5542,-0.8192,15.58
426,155.07,117.77,15.23,0.049800,2.5142,-0.8134,14.63
427,153.50,116.57,16.95,0.049700,2.5418,-0.8076,16.75
430,153.97,116.93,16.81,0.050200,2.3406,-0.9695,16.58
431,151.30,114.90,18.55,0.050200,1.843,-0.9429,18.72
432,151.61,115.14,18.10,0.049900,2.0355,-0.8886,18.16
433,148.02,112.41,20.74,0.049200,2.1432,-0.8707,21.41
434,145.11,110.20,24.17,0.048500,2.3075,-0.8233,25.63
437,147.38,111.93,20.87,0.049600,2.3862,-0.8492,21.57
438,145.72,110.66,23.52,0.049600,2.3976,-0.8319,24.83
439,146.43,111.20,23.67,0.048900,2.4089,-0.8226,25.01
440,147.60,112.09,21.22,0.048900,2.4203,-0.8132,22.00
441,143.80,109.21,25.16,0.048500,2.4316,-0.8039,26.85
444,146.21,111.04,22.94,0.048800,2.7491,-0.7758,24.12
445,147.77,112.22,21.56,0.049400,3.0438,-0.8027,22.42
446,149.83,113.79,21.45,0.049500,2.9394,-0.8074,22.28
447,145.39,110.41,26.48,0.048100,2.9246,-0.8121,28.47
448,144.71,109.90,28.30,0.045700,2.9097,-0.7972,30.71
451,145.23,110.29,26.57,0.047400,2.8652,-0.8332,28.58
452,143.01,108.61,27.68,0.046400,2.8503,-0.8482,29.95
453,141.04,107.11,30.67,0.042100,2.8355,-0.8633,33.62
454,142.10,107.92,30.83,0.037900,2.8207,-0.8585,33.82
455,144.71,109.90,29.99,0.037600,2.8058,-0.8537,32.79
458,144.64,109.84,26.33,0.031200,2.7067,-0.8393,28.29
459,144.93,110.06,25.25,0.035900,2.6736,-0.8345,26.96
460,146.65,111.37,22.89,0.036700,2.6406,-0.8297,24.05
461,146.52,111.27,22.62,0.038900,2.6076,-0.8249,23.72
462,148.33,112.65,20.72,0.042400,2.6559,-0.8493,21.39
465,146.95,111.60,22.72,0.046300,2.67,-0.8462,23.85
466,143.72,109.15,26.30,0.044000,2.653,-0.8452,28.25
467,146.54,111.29,23.81,0.039800,2.6359,-0.8442,25.19
468,146.15,110.99,25.06,0.038400,2.6188,-0.8432,26.72
469,147.59,112.08,23.38,0.040100,2.6017,-0.8422,24.66
473,149.08,113.22,22.78,0.044700,2.5335,-0.8688,23.92
474,147.79,112.24,24.58,0.043600,2.5164,-0.8729,26.13
475,148.13,112.50,23.99,0.042900,2.4993,-0.8769,25.41
476,146.07,110.93,26.23,0.040700,2.4823,-0.8809,28.16
479,145.79,110.72,27.38,0.039600,2.431,-0.9063,29.58
480,147.49,112.01,25.27,0.041100,2.512,-0.901,26.98
481,147.87,112.30,24.96,0.040300,2.5319,-0.8959,26.60
482,148.91,113.09,24.76,0.040800,2.5518,-0.8909,26.35
483,148.90,113.08,24.92,0.040100,2.5718,-0.8858,26.55
486,148.10,112.47,26.48,0.041500,2.6316,-0.8706,28.47
487,152.46,115.78,20.35,0.040100,2.6515,-0.8656,20.93
488,153.36,116.47,20.03,0.039300,2.6715,-0.8605,20.54
489,152.28,115.65,20.45,0.037900,2.6914,-0.8555,21.05
490,151.97,115.96,19.00,0.037400,2.6993,-0.8504,19.27
493,151.69,115.75,19.37,0.038400,2.7227,-0.8226,19.73
494,151.39,115.52,18.60,0.037900,2.7306,-0.812,18.78
495,152.19,116.13,17.63,0.037300,2.7384,-0.8015,17.58
496,153.09,116.81,17.00,0.037100,2.7462,-0.7909,16.81
497,152.58,116.42,18.00,0.038200,2.7541,-0.7804,18.04
500,154.30,117.74,17.84,0.039200,2.9436,-0.7554,17.84
501,154.09,117.58,18.49,0.039600,3.0348,-0.7515,18.64
502,153.78,117.34,18.80,0.039600,3.126,-0.7476,19.02
503,154.02,117.52,18.44,0.039600,3.2171,-0.7436,18.58
504,155.85,118.92,16.91,0.040000,3.3083,-0.7397,16.70
507,155.02,118.29,17.46,0.040000,3.1374,-0.728,17.38
508,156.48,119.40,16.12,0.040600,3.065,-0.7127,15.73
